Plug: https://twitter.com/t0x0pg

Domain	Count
jdec-m.isg.mil	1
jiatfw.pacom.mil	1
jjj.gov	1
jkjkf.gov	1
jmf.navy.mil	1
joaptsc.gov	1
joco.gov	1
jsf.mil	1
jud.ca.gov	1
jud.gov	1
jus.ds.ky.gov	1
justice.gov	1
juvenile.maricopa.gov	1
kadena.af.mil	1
Kadena.af.mil	1
kauffman.navy.mil	1
kbic-nsn.gov	1
kdheks.gov	1
kdor.ks.gov	1
kearsarge.navy.mil	1
kentwa.gov	1
Kirtland.af.mil	1
kjkos.mil	1
kkk.gov	1
ky.ngb.army.mil	1
kyloui.ang.af.mil	1
labor.ny.gov	1
lahabraca.gov	1
lakecountyil.gov	1
lakenheath.af.mil	1
lamadd.navy.mil	1
lanewo.ang.af.mil	1
Langley.af.mil	1
lapampa.gov	1
lassen.navy.mil	1
lasvegasnevada.gov	1
laughlinaf.mil	1
lavernia-tx.gov	1
lcc20.navy.mil	1
lcle.la.gov	1
ld49.navy.mil	1
lee-ann.gov	1
lee.army.mil	1
leominster-ma.gov	1
leonianj.gov	1
lha6.navy.mil	1
lincoln.ne.gov	1
littlerock.af.mil	1
llha4.navy.mil	1
lob.gov	1
losgatosca.gov	1
lowellma.gov	1
lpd.17.navy.mil	1
lpd10.navy.mil	1
lpd15.nay.mil	1
lpd25.navy.mil	1
lrc.ky.gov	1
lsd38.navy.mil	1
lsd42.navy.mil	1
lsd46.navy.mil	1
LSD47.navy.mil	1
luke.mil	1
madisonal.gov	1
madisoncounty.in.gov	1
mail.arc.nasa.gov	1
mail.doc.gov	1
mail.NIH.gov	1
mail.nysed.gov	1
mail.ports.navy.mil	1
